Address,Municipality,VVs,Plazas,Brands,Confidence,Website,Phone,Email,Map Link,Notes
"Avda. Aly 55","Mogan",188,643,"arguineguin park",none,,,,https://www.google.com/maps?q=27.76887900000011,-15.684592999999959,"Brand detected: arguineguin park; Google API not configured - manual search needed; No results - try manual search; Try: Google ""arguineguin park Gran Canaria""; Try: administrador de fincas Mogan"
"Avenida De Tirajana 40","San Bartolome De Tirajana",101,319,"apartamentos las camelias, aloe, tamaran, los molinos, iguazu, sunny tanife yumbo, yumbo sunset tanife, yumbo holiday tanife, barbados",none,,,,https://www.google.com/maps?q=27.7565680620939,-15.578155532774279,"Brand detected: apartamentos las camelias; Google API not configured - manual search needed; No results - try manual search; Try: Google ""apartamentos las camelias Gran Canaria""; Try: administrador de fincas San Bartolome De Tirajana"
"Avenida Aly 55","Mogan",73,240,"arguineguin park, arguimeguin park",none,,,,https://www.google.com/maps?q=27.768860472222197,-15.684610333333309,"Brand detected: arguineguin park; Google API not configured - manual search needed; No results - try manual search; Try: Google ""arguineguin park Gran Canaria""; Try: administrador de fincas Mogan"
"Avenida De Gran Canaria 23","San Bartolome De Tirajana",64,232,"aremobilien-vivienda, santa, marbella golf, santa num., solycan",none,,,,https://www.google.com/maps?q=27.76022852187233,-15.578669732844974,"Brand detected: aremobilien-vivienda; Google API not configured - manual search needed; No results - try manual search; Try: Google ""aremobilien-vivienda Gran Canaria""; Try: administrador de fincas San Bartolome De Tirajana"
"Avenida De Tenerife 17","San Bartolome De Tirajana",58,157,"sergio alvarez garcia, agaete parque, sweet playa del",none,,,,https://www.google.com/maps?q=27.76179819354838,-15.568746548387098,"Brand detected: sergio alvarez garcia; Google API not configured - manual search needed; No results - try manual search; Try: Google ""sergio alvarez garcia Gran Canaria""; Try: administrador de fincas San Bartolome De Tirajana"
"El Salvador 79","Las Palmas De Gran Canaria",55,212,"art las palmas, salvador, guanarteme vista surf",none,,,,https://www.google.com/maps?q=28.130360857142854,-15.442871571428569,"Brand detected: art las palmas; Google API not configured - manual search needed; No results - try manual search; Try: Google ""art las palmas Gran Canaria""; Try: administrador de fincas Las Palmas De Gran Canaria"
"Plan Parcial Sector S-Cuatro El Pajar, Parcela 2 2019","San Bartolome De Tirajana",49,196,"resort cordial santa",none,,,,https://www.google.com/maps?q=27.75422899999998,-15.674711,"Brand detected: resort cordial santa; Google API not configured - manual search needed; No results - try manual search; Try: Google ""resort cordial santa Gran Canaria""; Try: administrador de fincas San Bartolome De Tirajana"
"Avenida De Italia 20","San Bartolome De Tirajana",48,186,"las olas, sunny maspalomas, apto playa del, caserio, cactus, las arenas, alegranza",none,,,,https://www.google.com/maps?q=27.760615333333334,-15.56644876923077,"Brand detected: las olas; Google API not configured - manual search needed; No results - try manual search; Try: Google ""las olas Gran Canaria""; Try: administrador de fincas San Bartolome De Tirajana"
"C/ Olof Palme 26","Las Palmas De Gran Canaria",40,151,"toctoc suites olof",none,,,,https://www.google.com/maps?q=28.134996374999997,-15.43677295,"Brand detected: toctoc suites olof; Google API not configured - manual search needed; No results - try manual search; Try: Google ""toctoc suites olof Gran Canaria""; Try: administrador de fincas Las Palmas De Gran Canaria"
"Calle La Naval 148","Las Palmas De Gran Canaria",36,112,"naval, the one first, the one second, the one third, the one fourth, the one fifth",none,,,,https://www.google.com/maps?q=28.14977818772475,-15.424840068220684,"Brand detected: naval; Google API not configured - manual search needed; No results - try manual search; Try: Google ""naval Gran Canaria""; Try: administrador de fincas Las Palmas De Gran Canaria"
"Calle Albareda 54","Las Palmas De Gran Canaria",36,95,"poem suites, marina beach, albareda, luxury apartments las",none,,,,https://www.google.com/maps?q=28.1465444784943,-15.42969636984492,"Brand detected: poem suites; Google API not configured - manual search needed; No results - try manual search; Try: Google ""poem suites Gran Canaria""; Try: administrador de fincas Las Palmas De Gran Canaria"
"Calle Swing 47","San Bartolome De Tirajana",34,198,"salobre homes, los lagos, salobre oasis suites, yucas, kaiman",none,,,,https://www.google.com/maps?q=27.78033868003122,-15.646008069259183,"Brand detected: salobre homes; Google API not configured - manual search needed; No results - try manual search; Try: Google ""salobre homes Gran Canaria""; Try: administrador de fincas San Bartolome De Tirajana"
"Luis Morote  11","Las Palmas De Gran Canaria",32,91,"atw suites canteras, canteras, marsin playa",none,,,,https://www.google.com/maps?q=28.141233287188193,-15.433386920449445,"Brand detected: atw suites canteras; Google API not configured - manual search needed; No results - try manual search; Try: Google ""atw suites canteras Gran Canaria""; Try: administrador de fincas Las Palmas De Gran Canaria"
